query_id,relevance_docid,weighted_avg_score
23849,4834498,2.206896552
23849,8010561,2
23849,2647769,2
23849,7311204,2
23849,188190,2
23849,1739455,1.837837838
23849,7119957,1.837209302
23849,5888570,1.814814815
23849,8769995,1.814814815
23849,178252,1.8125
23849,6722889,1.8125
23849,2199035,1.666666667
23849,8059826,1.657894737
23849,5529682,1.641975309
23849,7084426,1.636363636
23849,3513239,1.628205128
23849,892160,1.485714286
23849,188246,1.450704225
23849,4348282,1.450704225
23849,5885925,1.450704225
23849,8466742,1.3125
23849,1449785,1.26984127
23849,4688091,1.25
23849,2017213,1.2375
23849,6440050,1.235294118
23849,2674124,1
23849,8246990,1
23849,8133127,1
23849,6667419,1
23849,1827512,1
23849,4482145,1
23849,2039331,1
23849,1333480,1
23849,6054726,1
23849,1622747,1
23849,8752783,1
23849,964148,1
23849,5925321,1
23849,1825393,1
23849,886103,1
23849,2491823,1
23849,2063280,1
23849,3550643,1
23849,6041916,1
23849,6769988,1
23849,1113803,1
23849,336778,1
23849,8466750,1
23849,7431268,1
23849,1295848,1
23849,653142,1
23849,7736747,1
23849,244830,1
23849,4844981,1
23849,891365,1
23849,436721,0.777777778
23849,2183977,0.754098361
23849,7088689,0.753846154
23849,2466882,0.746478873
23849,522359,0.73878628
23849,4141983,0.723076923
23849,5811573,0.709677419
23849,2210428,0.677966102
23849,641196,0.666666667
23849,5363400,0.636363636
23849,8549434,0.55
23849,273820,0.549295775
23849,1170902,0.5078125
23849,490331,0.493333333
23849,8636113,0.493150685
23849,1562442,0.485714286
23849,293608,0.441176471
23849,2132534,0.357142857
23849,8501571,0.352941176
23849,421164,0.341176471
23849,3181495,0.325
23849,6739225,0.323529412
23849,7087828,0.314009662
23849,8466748,0.301369863
23849,7685265,0.243243243
23849,8062904,0.2
23849,2204433,0.176470588
23849,3185492,0.161290323
23849,727869,0.151975684
23849,8723108,0.119047619
23849,7060905,0.08974359
23849,542113,0
23849,2516458,0
23849,799642,0
23849,4091550,0
23849,7120002,0
23849,6722890,0
23849,3654335,0
23849,8293999,0
23849,3643765,0
23849,3744747,0
23849,1680203,0
23849,2540071,0
23849,6728787,0
23849,4190254,0
156498,1663164,2.806451613
156498,1066785,2.391304348
156498,104801,2.212765957
156498,3669926,2.2
156498,3301559,2
156498,4273419,2
156498,4273410,2
156498,3301563,2
