query_id,relevance_docid,average_score,average_confidence
23849,2647769,2.6,97
23849,4834498,2,86
23849,1739455,2,86
23849,188190,2,85
23849,7311204,2,82
23849,8010561,2,72
23849,7119957,1.8,86
23849,5888570,1.8,81
23849,8752783,1.8,80
23849,3513239,1.8,80
23849,4348282,1.8,78
23849,8059826,1.6,84
23849,2183977,1.6,82
23849,8769995,1.6,79
23849,188246,1.6,77
23849,6722889,1.6,65
23849,4688091,1.4,74
23849,5529682,1.4,68
23849,8466750,1.4,63
23849,653142,1.2,77
23849,4482145,1.2,74
23849,1295848,1.2,70
23849,7084426,1.2,69
23849,5925321,1.2,67
23849,178252,1.2,66
23849,8246990,1,85
23849,6440050,1,74
23849,5885925,1,73
23849,4141983,1,73
23849,1827512,1,72
23849,2017213,1,72
23849,7431268,1,72
23849,799642,1,71
23849,522359,1,71
23849,7736747,1,71
23849,1333480,1,69
23849,2491823,1,69
23849,436721,1,68
23849,2540071,1,68
23849,1622747,1,67
23849,244830,1,67
23849,891365,1,67
23849,1449785,1,66
23849,6667419,1,65.8
23849,8133127,1,64
23849,6722890,1,64
23849,1825393,1,63
23849,6769988,1,63
23849,8549434,1,63
23849,2199035,1,63
23849,964148,1,62
23849,8466742,1,62
23849,886103,1,61
23849,6054726,1,59
23849,5363400,1,44
23849,7087828,0.8,77.8
23849,7060905,0.8,74
23849,3744747,0.8,73
23849,1113803,0.8,72
23849,336778,0.8,71
23849,2063280,0.8,70
23849,2210428,0.8,70
23849,273820,0.8,68
23849,542113,0.8,67
23849,2039331,0.8,66
23849,1562442,0.8,66
23849,4844981,0.8,66
23849,892160,0.8,64
23849,2132534,0.8,57
23849,8062904,0.8,52
23849,5811573,0.8,52
23849,8293999,0.8,49
23849,2674124,0.8,46
23849,7120002,0.6,79
23849,1170902,0.6,78
23849,293608,0.6,77
23849,8636113,0.6,73.8
23849,6739225,0.6,73
23849,2466882,0.6,70
23849,7088689,0.6,68.8
23849,2516458,0.6,57
23849,2204433,0.6,57
23849,3550643,0.4,83
23849,3185492,0.4,81.8
23849,8723108,0.4,80.6
23849,7685265,0.4,74
23849,3181495,0.4,73
23849,8501571,0.4,72
23849,8466748,0.4,56
23849,641196,0.4,40
23849,421164,0.2,89
23849,6041916,0.2,86
23849,4190254,0.2,80
23849,3643765,0.2,78
23849,490331,0.2,64.6
23849,6728787,0.2,26
23849,727869,0,95
23849,1680203,0,93.6
23849,3654335,0,84
23849,4091550,0,75
156498,1663164,2.8,94
156498,1066785,2.4,94
156498,3301563,2.2,94
156498,104803,2.2,94
156498,4273410,2.2,92
156498,7300615,2,94
156498,4273419,2,93
156498,104801,2,93
156498,3669926,2,93
156498,3301559,2,92.6
156498,4960216,2,92
156498,494571,2,91
156498,494572,2,90
156498,3446475,2,89
156498,6648985,2,89
156498,1575717,2,88
156498,8648975,1.8,92
156498,4273412,1.6,89
156498,8648972,1.6,82
156498,3669928,1.6,76
156498,1434103,1.6,76
156498,6871676,1.4,90
156498,5043014,1.4,89
156498,1575718,1.4,87
156498,6819258,1.4,84
156498,1575716,1.4,77
156498,645636,1.2,92
156498,1118223,1.2,82
156498,5606983,1.2,81
156498,3852379,1.2,74
156498,603431,1.2,74
156498,307019,1.2,68
156498,5043013,1,78
156498,104800,1,76
156498,6460157,1,74
156498,7075146,1,72
156498,5820818,1,72
156498,7807890,1,71
156498,2079878,1,70
156498,2126091,1,66
156498,1406647,1,65
156498,4767873,1,65
156498,8615228,1,63
156498,4960218,1,63
156498,8615231,1,58
156498,1434101,1,58
156498,8439464,0.8,76
156498,1615199,0.8,73.8
156498,3397580,0.8,69
156498,1663169,0.8,66
156498,4325222,0.8,66
156498,3109234,0.8,66
156498,172094,0.8,64
156498,3288004,0.8,62
156498,1584048,0.8,61
156498,7456851,0.8,51
156498,7835392,0.8,48
156498,6648988,0.6,83
156498,8606129,0.6,78
156498,2427097,0.6,77.8
156498,3397575,0.6,76
156498,6648981,0.6,72
156498,7585248,0.6,69
156498,8823842,0.6,66
156498,5606985,0.6,62
156498,8238887,0.6,54
156498,7781695,0.6,16
156498,8146073,0.4,91
156498,8615224,0.4,84
156498,3397576,0.4,82.8
156498,841995,0.4,82.8
156498,3397578,0.4,82
156498,2206872,0.4,81.8
156498,6648982,0.4,81
156498,1998237,0.4,80
156498,5670872,0.4,78.6
156498,7807893,0.4,74
156498,6792607,0.4,73.6
156498,3287997,0.4,72
156498,3288005,0.4,69
156498,6351773,0.4,62.8
156498,182690,0.2,93.4
156498,6264236,0.2,91
156498,8314103,0.2,90.8
156498,6648986,0.2,90.8
156498,584835,0.2,89.2
156498,5230808,0.2,87
156498,6351772,0.2,86
156498,3852372,0.2,86
156498,1564664,0.2,84
156498,6351769,0.2,77.8
156498,494576,0.2,77
156498,2427094,0.2,69.8
156498,6555091,0.2,25
156498,3397582,0,95.8
156498,4325225,0,95.6
156498,4166192,0,94.8
156498,3397583,0,92.8
156498,6648984,0,91
156498,1354420,0,49.6
258062,3777930,2,94
258062,4155912,2,93
258062,91493,2,92
258062,3404354,2,92
258062,4595794,2,91.8
258062,4174308,2,91
258062,4159344,2,91
258062,4595795,2,91
258062,18103,2,91
258062,2707014,2,91
258062,4174313,2,90
258062,4159145,2,90
258062,4174307,2,90
258062,4159140,2,90
258062,2940182,2,90
258062,923624,2,90
258062,3777927,2,89
258062,4174306,2,89
258062,3012167,2,85
258062,8694158,2,85
258062,8694161,1.8,91
258062,3195767,1.8,90
