query_id,relevance_docid,average_score,average_confidence
23849,4834498,2.2,87
23849,2647769,2,91
23849,188190,2,91
23849,8010561,2,87
23849,7311204,2,85
23849,7119957,1.8,86
23849,5888570,1.8,81
23849,8769995,1.8,81
23849,178252,1.8,80
23849,6722889,1.8,80
23849,1739455,1.8,74
23849,5529682,1.6,81
23849,3513239,1.6,78
23849,7084426,1.6,77
23849,8059826,1.6,76
23849,2199035,1.6,72
23849,188246,1.4,71
23849,4348282,1.4,71
23849,5885925,1.4,71
23849,892160,1.4,70
23849,8466742,1.4,64
23849,2017213,1.2,80
23849,6440050,1.2,68
23849,4688091,1.2,64
23849,1449785,1.2,63
23849,8246990,1,79
23849,891365,1,72
23849,244830,1,71
23849,7431268,1,69
23849,653142,1,69
23849,886103,1,67
23849,3550643,1,67
23849,2063280,1,66
23849,8466750,1,66
23849,1113803,1,65
23849,1827512,1,64
23849,8752783,1,64
23849,2491823,1,64
23849,4844981,1,63
23849,1622747,1,62
23849,4482145,1,62
23849,964148,1,62
23849,5925321,1,62
23849,6769988,1,62
23849,336778,1,62
23849,1333480,1,60
23849,8133127,1,60
23849,1825393,1,60
23849,1295848,1,60
23849,7736747,1,60
23849,6041916,1,59
23849,3744747,1,58
23849,2039331,1,57
23849,6054726,1,53
23849,2540071,1,43
23849,2674124,1,38
23849,522359,0.8,75.8
23849,436721,0.8,72
23849,2466882,0.8,71
23849,4141983,0.8,65
23849,7088689,0.8,65
23849,5811573,0.8,62
23849,542113,0.8,61
23849,2183977,0.8,61
23849,2210428,0.8,59
23849,6667419,0.8,57
23849,799642,0.8,51
23849,5363400,0.8,44
23849,8549434,0.6,80
23849,1170902,0.6,76.8
23849,490331,0.6,75
23849,8636113,0.6,73
23849,273820,0.6,71
23849,1562442,0.6,70
23849,293608,0.6,68
23849,641196,0.6,48
23849,6722890,0.6,32
23849,8501571,0.4,85
23849,421164,0.4,85
23849,2132534,0.4,84
23849,7087828,0.4,82.8
23849,3181495,0.4,80
23849,7685265,0.4,74
23849,8466748,0.4,73
23849,2204433,0.4,68
23849,6739225,0.4,68
23849,727869,0.4,65.8
23849,8723108,0.2,84
23849,7060905,0.2,78
23849,3185492,0.2,62
23849,8062904,0.2,60
23849,1680203,0,96.2
23849,4091550,0,93
23849,2516458,0,92
23849,4190254,0,92
23849,3643765,0,89
23849,3654335,0,83
23849,6728787,0,77
23849,7120002,0,73.6
23849,8293999,0,72
156498,1663164,2.8,93
156498,1066785,2.4,92
156498,104801,2.2,94
156498,3669926,2.2,90
156498,3301563,2,94
156498,4273410,2,93
156498,104803,2,92.6
156498,4273419,2,91
156498,4960216,2,91
156498,3301559,2,90
156498,7300615,2,90
156498,1575717,2,90
156498,7075146,2,89
156498,8648975,2,88
156498,1434103,2,88
156498,494572,2,87
156498,4273412,1.8,92
156498,6648985,1.8,88
156498,1118223,1.8,86
156498,3446475,1.8,86
156498,4960218,1.8,85
156498,8648972,1.8,82
156498,1575718,1.8,72
156498,645636,1.6,92.8
156498,104800,1.6,90
156498,6871676,1.6,89
156498,307019,1.6,79
156498,603431,1.6,78
156498,494571,1.6,71
156498,5043014,1.4,86
156498,5043013,1.4,84.8
156498,2079878,1.4,76
156498,3397580,1.4,75
156498,6819258,1.2,90
156498,8146073,1.2,86
156498,4767873,1.2,81
156498,3669928,1.2,69
156498,6460157,1,83
156498,1406647,1,70
156498,1584048,1,70
156498,3109234,1,65
156498,7456851,1,60
156498,8615228,1,56
156498,7835392,1,39
156498,5606983,0.8,85
156498,1575716,0.8,80
156498,2126091,0.8,77
156498,3852379,0.8,76
156498,5820818,0.8,73.6
156498,8615231,0.8,65
156498,172094,0.8,45.8
156498,1564664,0.6,83
156498,8606129,0.6,82
156498,3397575,0.6,79
156498,1615199,0.6,79
156498,5670872,0.6,74
156498,8439464,0.6,73.8
156498,841995,0.6,65
156498,6264236,0.6,47
156498,1434101,0.6,45
156498,6351772,0.6,42
156498,3397582,0.4,94
156498,6648988,0.4,92
156498,7807890,0.4,84.8
156498,8615224,0.4,84
156498,4325222,0.4,83.8
156498,8314103,0.4,83
156498,7807893,0.4,82
156498,6648982,0.4,81
156498,6648981,0.4,81
156498,3852372,0.2,91
156498,5230808,0.2,91
156498,3397576,0.2,90.6
156498,1663169,0.2,89
156498,3397578,0.2,86.8
156498,3288005,0.2,85
156498,7781695,0.2,85
156498,1998237,0.2,84
156498,8238887,0.2,81.8
156498,7585248,0.2,79
156498,2427097,0.2,77
156498,4325225,0.2,76.8
156498,6351773,0.2,76
156498,182690,0,95.8
156498,4166192,0,94.8
156498,6792607,0,94.8
156498,6351769,0,94
156498,6648986,0,94
156498,494576,0,93
156498,584835,0,92.8
156498,2206872,0,92
156498,3287997,0,91
156498,3397583,0,91
156498,6648984,0,91
156498,8823842,0,90
156498,2427094,0,90
156498,5606985,0,86
156498,3288004,0,70
156498,6555091,0,47
156498,1354420,0,18
258062,4155912,2,93
258062,4595794,2,92
258062,2707014,2,92
258062,3404354,2,92
258062,91493,2,91
258062,4159145,2,91
258062,4159344,2,91
258062,4174307,2,91
258062,8694161,2,90
258062,4174313,2,90
258062,4174308,2,90
258062,3777927,2,90
258062,3195767,2,90
258062,923624,2,90
258062,8694158,2,90
258062,3012167,2,89
258062,3777930,2,89
258062,4174306,2,89
258062,2940182,2,89
258062,7068638,2,68
258062,18103,1.8,90
258062,5810936,1.8,90
258062,2087378,1.8,88
258062,6347133,1.8,87
258062,4159140,1.8,84
258062,4174309,1.8,84
258062,4595795,1.6,90
258062,4159137,1.6,78
258062,756978,1.6,78
258062,4159345,1.4,86
258062,3947004,1.4,77
258062,5456429,1.2,78
258062,2009233,1.2,75
258062,3132005,1.2,74
258062,1139497,1.2,72
258062,5134732,1,80
258062,3807311,1,77
258062,3683402,1,75
258062,2009235,1,75
258062,5810937,1,74
258062,7918982,1,73
258062,3807312,1,73
258062,7918984,1,72
258062,4595262,1,72
258062,5326260,1,71
258062,2707010,1,69
258062,7450543,1,69
258062,7068640,1,68
258062,3695217,1,67
258062,4901878,1,67
258062,7821393,1,67
258062,2009237,1,67
258062,5131173,1,67
258062,5598944,1,66
258062,387592,1,66
258062,7573918,1,60
258062,7450542,1,60
258062,3777936,1,57
258062,352037,1,52
258062,8293525,1,42
258062,5060031,1,30
258062,60522,0.8,83
258062,5179887,0.8,74
258062,1990209,0.8,70
258062,1990214,0.8,70
258062,18100,0.8,69
258062,7526527,0.8,65
258062,2898171,0.8,61
258062,7344533,0.8,57
258062,4610034,0.8,56
258062,639079,0.8,34
258062,3672507,0.6,84
258062,63211,0.6,77
258062,5968758,0.6,49
258062,639084,0.6,36
258062,6643808,0.4,92
258062,6643803,0.4,88
258062,7335250,0.4,85
258062,6382557,0.4,85
258062,6486786,0.4,85
258062,7450550,0.4,83.8
258062,7335249,0.4,67
258062,2875425,0.2,93
258062,5598947,0.2,89
258062,63216,0.2,89
258062,8242299,0.2,89
258062,3984587,0.2,87
258062,60526,0.2,87
258062,3159992,0.2,86
258062,1311743,0.2,82
258062,4595267,0.2,18
258062,5677369,0,97.4
258062,6643805,0,95.8
258062,5671977,0,95.6
258062,7532084,0,94
258062,7655249,0,92.8
258062,5556800,0,92
258062,3404355,0,92
258062,3297029,0,91
258062,6059047,0,71
1071750,3575934,2,94
1071750,8698275,2,92
1071750,8378390,2,92
1071750,4717401,2,92
1071750,8698274,2,91
1071750,8378383,2,91
1071750,8698273,2,91
1071750,8698268,2,91
1071750,3928916,2,90
1071750,7778577,2,88
1071750,3928914,2,86
1071750,8698276,2,84
1071750,8378389,1.8,88
1071750,8698272,1.8,85
1071750,4133644,1.6,93
1071750,8698269,1.6,87
1071750,3928913,1.6,73
1071750,8698271,1.4,84
1071750,3850956,1.2,68
1071750,3719926,1,83
1071750,3928915,1,79
1071750,8378388,1,77
1071750,6508493,1,77
1071750,7018757,1,76
1071750,8698270,1,74
1071750,3928921,1,72
1071750,8378384,1,62
1071750,8378385,1,61
1071750,7018752,1,57
1071750,6508499,1,52
1071750,8378382,0.8,84
1071750,3016482,0.8,84
1071750,27185,0.8,82
1071750,8378387,0.8,79
1071750,4094989,0.6,85
1071750,3214951,0.6,73
1071750,8378386,0.6,53
1071750,3086979,0.6,34.2
1071750,7018750,0.6,10
1071750,4133640,0.4,80
1071750,6508491,0.4,72
1071750,574320,0.4,70.6
1071750,4360128,0.4,70
1071750,4094991,0.4,69.8
1071750,8017972,0.4,59
1071750,2012614,0.4,54.8
1071750,8017974,0.2,85
1071750,7790571,0.2,83
1071750,4094990,0.2,78.8
1071750,3318540,0.2,76.6
1071750,3795928,0.2,76
1071750,6138962,0.2,75.6
1071750,5032111,0.2,61.4
1071750,7410371,0.2,39
1071750,7141605,0,99.4
1071750,208979,0,99.2
1071750,208982,0,99.2
1071750,3928917,0,98.6
1071750,3335529,0,98.6
1071750,6330792,0,98.2
1071750,4939145,0,98.2
